"","exp","Tissue"
"GTEX-XBED-1626-SM-47JYN",2.8381,"Breast - Mammary Tissue"
"GTEX-U8XE-0826-SM-4E3J1",0.1239,"Breast - Mammary Tissue"
"GTEX-XV7Q-2326-SM-4BRVZ",1.4006,"Breast - Mammary Tissue"
"GTEX-XOT4-0726-SM-4GIAW",4.2584,"Breast - Mammary Tissue"
"GTEX-RUSQ-2026-SM-4GIAK",0.0802,"Breast - Mammary Tissue"
"GTEX-S7SE-0826-SM-4AT4D",0.5472,"Breast - Mammary Tissue"
"GTEX-XQ3S-1326-SM-4BOPQ",1.3357,"Breast - Mammary Tissue"
"GTEX-SE5C-2126-SM-4BRUJ",1.4069,"Breast - Mammary Tissue"
"GTEX-XMD1-0826-SM-4AT52",3.7112,"Breast - Mammary Tissue"
"GTEX-X4XY-0926-SM-4E3JD",0.2438,"Breast - Mammary Tissue"
"GTEX-REY6-2426-SM-48FF5",0.3375,"Breast - Mammary Tissue"
"GTEX-U3ZH-1426-SM-4DXSR",6.0295,"Breast - Mammary Tissue"
"GTEX-RU72-0626-SM-46MUI",3.5808,"Breast - Mammary Tissue"
"GTEX-U3ZN-1926-SM-4DXSG",7.0392,"Breast - Mammary Tissue"
"GTEX-WXYG-2226-SM-4E3IM",2.5665,"Breast - Mammary Tissue"
"GTEX-XGQ4-0926-SM-4AT4U",0.0957,"Breast - Mammary Tissue"
"GTEX-Q2AG-0326-SM-48U1O",1.8723,"Breast - Mammary Tissue"
"GTEX-S32W-2026-SM-4AD6E",0.7139,"Breast - Mammary Tissue"
"GTEX-QDT8-0626-SM-48TYW",1.4633,"Breast - Mammary Tissue"
"GTEX-XYKS-1326-SM-4BRUN",0.6858,"Breast - Mammary Tissue"
"GTEX-S33H-0326-SM-4AD6N",2.5903,"Breast - Mammary Tissue"
"GTEX-XMK1-1126-SM-4IHJ8",2.2976,"Breast - Mammary Tissue"
"GTEX-S341-1526-SM-4AD6K",8.8281,"Breast - Mammary Tissue"
"GTEX-R53T-1526-SM-48FEK",4.2691,"Breast - Mammary Tissue"
