"","exp","Tissue"
"GTEX-U8XE-1526-SM-4E3HT",0.066,"Liver"
"GTEX-RN64-1826-SM-48FDV",1.4291,"Liver"
"GTEX-R53T-0326-SM-48FEC",2.7824,"Liver"
"GTEX-S33H-1626-SM-4AD68",1.3323,"Liver"
"GTEX-UTHO-2426-SM-4JBHD",0.4734,"Liver"
"GTEX-XBEC-1526-SM-4AT68",1.5466,"Liver"
"GTEX-X4XY-1626-SM-46MVN",0.0938,"Liver"
"GTEX-WFON-1726-SM-4LVMQ",0.6762,"Liver"
"GTEX-S32W-1926-SM-4AD63",0.2144,"Liver"
"GTEX-SJXC-1226-SM-4DM78",2.5702,"Liver"
"GTEX-RWSA-1426-SM-47JXA",0.925,"Liver"
"GTEX-RTLS-1326-SM-46MUN",0.5192,"Liver"
"GTEX-REY6-1226-SM-48FDR",0.1589,"Liver"
"GTEX-S4Z8-0526-SM-4AD4T",0.9015,"Liver"
"GTEX-RM2N-1926-SM-48FCU",0.4758,"Liver"
"GTEX-UPIC-0926-SM-4IHLV",3.1613,"Liver"
"GTEX-RNOR-1426-SM-48FDJ",1.5187,"Liver"
"GTEX-RU72-1426-SM-46MUF",0.8518,"Liver"
"GTEX-XOTO-0826-SM-4B65O",2.2359,"Liver"
"GTEX-XXEK-1126-SM-4BRUX",0.025,"Liver"
"GTEX-QDVN-0826-SM-48TZ2",0.0984,"Liver"
"GTEX-VUSG-0126-SM-4KL1X",0.5607,"Liver"
"GTEX-Q2AG-1126-SM-48U1P",2.6319,"Liver"
"GTEX-PX3G-0826-SM-48TZS",1.749,"Liver"
"GTEX-UPK5-1426-SM-4JBHH",1.3523,"Liver"
"GTEX-QESD-2026-SM-447BI",0.6482,"Liver"
"GTEX-PWOO-0826-SM-48TCL",0.0626,"Liver"
"GTEX-Q734-0326-SM-48U15",0.7287,"Liver"
"GTEX-TKQ2-1726-SM-4DXUP",0.3223,"Liver"
"GTEX-11TT1-1726-SM-5EQLJ",0.0501,"Liver"
"GTEX-11GSP-0626-SM-5986T",2.7366,"Liver"
"GTEX-146FH-1526-SM-5NQBU",0.846,"Liver"
"GTEX-13O1R-2026-SM-5KM3N",0.0393,"Liver"
"GTEX-11WQC-0726-SM-5EQMR",3.4369,"Liver"
"GTEX-132AR-0426-SM-5IFH8",0.3524,"Liver"
"GTEX-13PVR-0126-SM-5S2PY",0.2854,"Liver"
"GTEX-11ZUS-2526-SM-59872",1.6424,"Liver"
"GTEX-147F4-1426-SM-5LUA8",1.0236,"Liver"
"GTEX-13OW6-2626-SM-5IFF2",3.2082,"Liver"
"GTEX-13112-1426-SM-5EGH8",2.7297,"Liver"
"GTEX-11DXZ-0126-SM-5EGGY",1.1395,"Liver"
"GTEX-13QJC-0726-SM-5RQJK",1.6486,"Liver"
"GTEX-147JS-1126-SM-5RQIW",3.8915,"Liver"
"GTEX-12WSI-0226-SM-5GCNA",0.9728,"Liver"
"GTEX-13113-1326-SM-5GCOI",0.2914,"Liver"
"GTEX-144GM-1326-SM-5LU5E",0.119,"Liver"
"GTEX-11UD2-1626-SM-5EQM3",0.2848,"Liver"
"GTEX-13NZB-0626-SM-5IFH6",0.9834,"Liver"
"GTEX-12WSD-1426-SM-5GCN9",5.0963,"Liver"
"GTEX-X3Y1-2726-SM-4PQZH",0.3919,"Liver"
"GTEX-14DAQ-1726-SM-5S2R2",1.1317,"Liver"
"GTEX-13N2G-0926-SM-5IFGJ",1.4309,"Liver"
"GTEX-QV44-0326-SM-4R1KD",0.6471,"Liver"
"GTEX-ZF29-2026-SM-4WWB7",0.215,"Liver"
"GTEX-13OVJ-1026-SM-5IFGI",0.1042,"Liver"
"GTEX-ZYY3-0626-SM-5NQ6W",0.3673,"Liver"
"GTEX-WZTO-0626-SM-4PQYY",1.4924,"Liver"
"GTEX-12WSL-0226-SM-5CVMJ",0.344,"Liver"
"GTEX-YB5E-0326-SM-5IFHU",0.105,"Liver"
"GTEX-11NUK-1226-SM-5P9GM",4.159,"Liver"
"GTEX-13PVQ-1526-SM-5IFEQ",1.2519,"Liver"
"GTEX-WYVS-1926-SM-4SOIC",1.8903,"Liver"
"GTEX-ZAB5-0426-SM-5CVMI",1.3035,"Liver"
"GTEX-1497J-0726-SM-5Q5D1",0.1738,"Liver"
"GTEX-1212Z-0226-SM-59HLF",3.512,"Liver"
"GTEX-131XE-0326-SM-5LZVO",0.1598,"Liver"
"GTEX-ZEX8-0826-SM-4WKHK",2.3457,"Liver"
"GTEX-131XH-0626-SM-5LZWH",0.9667,"Liver"
"GTEX-1399T-0826-SM-5IFES",2.1133,"Liver"
"GTEX-12696-0826-SM-5EGGE",0.1497,"Liver"
"GTEX-QEG4-1826-SM-4R1JN",2.3887,"Liver"
"GTEX-11ZTS-1426-SM-5EQMM",2.1462,"Liver"
"GTEX-11ZVC-0726-SM-5FQT9",1.7332,"Liver"
"GTEX-ZVP2-0626-SM-51MSO",0.552,"Liver"
"GTEX-ZYT6-0626-SM-5E45V",0.9064,"Liver"
"GTEX-13NZ9-1326-SM-5MR3V",0.3821,"Liver"
"GTEX-12ZZZ-1326-SM-59HKW",0.6347,"Liver"
"GTEX-WK11-1326-SM-4OOSI",0.7422,"Liver"
"GTEX-139TS-1426-SM-5IFJD",2.152,"Liver"
"GTEX-13SLX-1226-SM-5S2Q6",4.6831,"Liver"
"GTEX-X4EO-1126-SM-4QARQ",0.41,"Liver"
"GTEX-145LU-1326-SM-5LU9N",2.7,"Liver"
"GTEX-13NYB-1026-SM-5IFH3",1.2319,"Liver"
"GTEX-139UC-1426-SM-5IJGH",1.3978,"Liver"
"GTEX-11NV4-1326-SM-5HL6V",1.4625,"Liver"
"GTEX-WY7C-0726-SM-4ONCB",1.9978,"Liver"
"GTEX-13VXU-0926-SM-5IFFH",3.0486,"Liver"
"GTEX-WQUQ-1926-SM-4OOSA",0.6269,"Liver"
"GTEX-14AS3-0126-SM-5Q5F4",5.0624,"Liver"
"GTEX-132NY-0926-SM-5P9G3",1.2493,"Liver"
"GTEX-139TU-0826-SM-5IJFG",0.9454,"Liver"
"GTEX-1399R-1226-SM-5P9GF",1.5218,"Liver"
"GTEX-13FTW-1126-SM-5J2NV",0.5713,"Liver"
"GTEX-WYVS-1926-SM-4PQZ2",1.3806,"Liver"
"GTEX-11EQ9-0526-SM-5A5JZ",0.983,"Liver"
"GTEX-13FTZ-0726-SM-5IFFY",4.3163,"Liver"
"GTEX-X4EP-1026-SM-4QAS5",0.2519,"Liver"
"GTEX-131YS-1626-SM-5HL6C",2.2278,"Liver"
"GTEX-1269C-0626-SM-5FQSS",1.0579,"Liver"
"GTEX-13N11-0926-SM-5IJG2",0.3398,"Liver"
"GTEX-139YR-0226-SM-5IFEM",0.3122,"Liver"
"GTEX-YFC4-1526-SM-5IFJS",0.8873,"Liver"
"GTEX-Y5LM-0426-SM-4VBRO",0.5837,"Liver"
"GTEX-Z9EW-0426-SM-5CVM9",0.2109,"Liver"
"GTEX-13FLV-0326-SM-5N9DJ",2.8024,"Liver"
"GTEX-14C38-1526-SM-5RQJ7",0,"Liver"
"GTEX-ZPU1-0826-SM-57WG2",0.4357,"Liver"
"GTEX-12KS4-1326-SM-5LUB3",1.1005,"Liver"
"GTEX-ZTPG-1426-SM-51MT3",0.1301,"Liver"
"GTEX-Y5V5-0926-SM-4VBPZ",6.1096,"Liver"
"GTEX-YECK-1926-SM-4W21H",2.7661,"Liver"
"GTEX-12WSG-0626-SM-5FQTQ",0.04,"Liver"
"GTEX-ZVT4-0626-SM-5E45T",0.5819,"Liver"
"GTEX-14A5I-1726-SM-5QGQ5",0.2024,"Liver"
"GTEX-14E1K-0326-SM-5S2PE",1.2422,"Liver"
"GTEX-11TUW-1726-SM-5BC5C",0.0607,"Liver"
"GTEX-1192X-1026-SM-5H12P",0.6065,"Liver"
