"","exp","Tissue"
"GTEX-N7MS-0526-SM-4E3JP",3.5119,"Nerve - Tibial"
"GTEX-UPJH-0626-SM-4IHJN",1.706,"Nerve - Tibial"
"GTEX-XOTO-0326-SM-4B66K",2.6962,"Nerve - Tibial"
"GTEX-XUW1-0626-SM-4BOP4",0.4222,"Nerve - Tibial"
"GTEX-XYKS-2526-SM-4BOPX",0.5335,"Nerve - Tibial"
"GTEX-T2IS-1126-SM-4DM6Z",1.866,"Nerve - Tibial"
"GTEX-XPT6-2126-SM-4B66P",2.342,"Nerve - Tibial"
"GTEX-X585-0426-SM-4E3JZ",1.8394,"Nerve - Tibial"
"GTEX-V955-2526-SM-4JBJG",0.7305,"Nerve - Tibial"
"GTEX-SNMC-1626-SM-4DM52",1.8529,"Nerve - Tibial"
"GTEX-OHPK-1726-SM-48TC4",1.0448,"Nerve - Tibial"
"GTEX-XMD1-0526-SM-4AT4Z",3.1968,"Nerve - Tibial"
"GTEX-VUSG-2726-SM-4KKZJ",0.675,"Nerve - Tibial"
"GTEX-R55F-0226-SM-48FCI",1.9606,"Nerve - Tibial"
"GTEX-XBED-2526-SM-47JYD",1.0872,"Nerve - Tibial"
"GTEX-XOT4-0326-SM-4B66S",2.9494,"Nerve - Tibial"
"GTEX-XAJ8-1126-SM-47JYA",0.851,"Nerve - Tibial"
"GTEX-XPVG-2826-SM-4B66J",1.957,"Nerve - Tibial"
"GTEX-XXEK-2526-SM-4BRUR",1.153,"Nerve - Tibial"
"GTEX-XUJ4-2726-SM-4BOQ1",1.7742,"Nerve - Tibial"
"GTEX-XMK1-2426-SM-4B66I",3.5629,"Nerve - Tibial"
"GTEX-X638-0426-SM-47JY2",6.5149,"Nerve - Tibial"
"GTEX-X5EB-2526-SM-4E3HY",0.5361,"Nerve - Tibial"
"GTEX-PWCY-2126-SM-48TEC",0.8293,"Nerve - Tibial"
"GTEX-XGQ4-2526-SM-4AT57",1.7561,"Nerve - Tibial"
"GTEX-TKQ1-1326-SM-4DXU7",1.2165,"Nerve - Tibial"
"GTEX-11OC5-0526-SM-5N9EE",1.8141,"Nerve - Tibial"
"GTEX-117YX-2426-SM-5GZZJ",0.6078,"Nerve - Tibial"
"GTEX-111VG-2526-SM-5GZXP",1.6639,"Nerve - Tibial"
"GTEX-111CU-2226-SM-5N9G5",1.0526,"Nerve - Tibial"
"GTEX-12WSM-0426-SM-5LZVU",1.5656,"Nerve - Tibial"
"GTEX-11GS4-2826-SM-5HL56",2.5172,"Nerve - Tibial"
"GTEX-11XUK-2326-SM-5CVLM",0.5389,"Nerve - Tibial"
"GTEX-11ILO-0426-SM-5HL4V",2.1272,"Nerve - Tibial"
"GTEX-14E7W-0426-SM-5S2O4",3.9433,"Nerve - Tibial"
"GTEX-11PRG-0126-SM-5BC55",5.5851,"Nerve - Tibial"
"GTEX-12C56-1826-SM-5EQ6D",1.5427,"Nerve - Tibial"
"GTEX-13CF2-2826-SM-5LZX9",2.5205,"Nerve - Tibial"
"GTEX-Y8DK-0426-SM-4TT3Q",2.0538,"Nerve - Tibial"
"GTEX-144GN-2526-SM-5LU54",0.731,"Nerve - Tibial"
"GTEX-145LV-2526-SM-5S2VA",2.4627,"Nerve - Tibial"
"GTEX-XBEW-0926-SM-4QASR",4.3935,"Nerve - Tibial"
"GTEX-111YS-2126-SM-5EGGM",1.4121,"Nerve - Tibial"
"GTEX-1313W-0326-SM-5LZU5",1.4105,"Nerve - Tibial"
"GTEX-131YS-0326-SM-5PNYW",3.9192,"Nerve - Tibial"
"GTEX-11DXX-2526-SM-5H119",0,"Nerve - Tibial"
"GTEX-14AS3-2226-SM-5S2OX",1.9513,"Nerve - Tibial"
"GTEX-YB5K-2426-SM-5IFHP",1.4707,"Nerve - Tibial"
"GTEX-144FL-0426-SM-5O9A1",2.9996,"Nerve - Tibial"
"GTEX-111FC-0526-SM-5GZZ8",4.2437,"Nerve - Tibial"
"GTEX-ZAB5-1926-SM-5HL7O",1.391,"Nerve - Tibial"
"GTEX-131XG-2526-SM-5HL7F",0.4918,"Nerve - Tibial"
"GTEX-ZYFG-2526-SM-5GIEK",4.7895,"Nerve - Tibial"
"GTEX-13NZA-0326-SM-5J1MK",1.9803,"Nerve - Tibial"
"GTEX-12584-0326-SM-59HK2",4.8901,"Nerve - Tibial"
"GTEX-12WSG-2726-SM-5EQ5M",2.4064,"Nerve - Tibial"
"GTEX-11ZU8-2626-SM-5EQLL",3.2104,"Nerve - Tibial"
"GTEX-13OVG-2226-SM-5K7V8",2.2158,"Nerve - Tibial"
"GTEX-WHSE-1026-SM-57WAX",0.3762,"Nerve - Tibial"
"GTEX-11NSD-1826-SM-5N9CF",1.6684,"Nerve - Tibial"
"GTEX-13OVJ-0426-SM-5L3GX",1.6992,"Nerve - Tibial"
"GTEX-Y8E5-0526-SM-57WBY",2.5758,"Nerve - Tibial"
"GTEX-ZQG8-1326-SM-51MQW",1.4896,"Nerve - Tibial"
"GTEX-P78B-0626-SM-5S2W4",2.2092,"Nerve - Tibial"
"GTEX-12ZZY-0426-SM-5LZW3",2.9914,"Nerve - Tibial"
"GTEX-11UD2-0426-SM-5EQ5W",1.1088,"Nerve - Tibial"
"GTEX-13FLV-2326-SM-5K7UK",0.9325,"Nerve - Tibial"
"GTEX-13O3O-0326-SM-5K7W2",2.8357,"Nerve - Tibial"
"GTEX-14C38-0626-SM-5S2TV",0.1332,"Nerve - Tibial"
"GTEX-YF7O-2626-SM-5IFHK",1.8337,"Nerve - Tibial"
"GTEX-11VI4-2126-SM-5EGI1",1.5948,"Nerve - Tibial"
"GTEX-Y111-0526-SM-4TT3M",3.0083,"Nerve - Tibial"
"GTEX-13YAN-0626-SM-5O9BQ",2.8332,"Nerve - Tibial"
"GTEX-14A5I-0426-SM-5NQ9V",2.6718,"Nerve - Tibial"
"GTEX-13FH7-2426-SM-5K7US",1.3917,"Nerve - Tibial"
"GTEX-QEG5-0526-SM-5S2V3",0.5915,"Nerve - Tibial"
"GTEX-146FH-0326-SM-5QGPT",0.2485,"Nerve - Tibial"
"GTEX-13NZ9-0726-SM-5J1ME",2.6541,"Nerve - Tibial"
"GTEX-XMD2-0326-SM-4YCD6",1.7142,"Nerve - Tibial"
"GTEX-XBEC-0426-SM-4QART",1.5754,"Nerve - Tibial"
"GTEX-131XF-2426-SM-5BC6C",2.9514,"Nerve - Tibial"
"GTEX-11O72-0526-SM-5Q5AO",1.2025,"Nerve - Tibial"
"GTEX-14E6C-1026-SM-5SI6P",0.3478,"Nerve - Tibial"
"GTEX-11P7K-2226-SM-5GU56",1.6401,"Nerve - Tibial"
"GTEX-ZTPG-0526-SM-5O98W",2.5186,"Nerve - Tibial"
"GTEX-ZXES-1926-SM-5E445",2.2476,"Nerve - Tibial"
"GTEX-ZDXO-1926-SM-5E45Q",2.7229,"Nerve - Tibial"
"GTEX-14BIM-0426-SM-5SI9N",2.1036,"Nerve - Tibial"
"GTEX-11ONC-2326-SM-5HL6P",1.5547,"Nerve - Tibial"
"GTEX-13X6J-0426-SM-5O9D3",3.1894,"Nerve - Tibial"
"GTEX-12BJ1-2626-SM-5FQUF",1.8715,"Nerve - Tibial"
"GTEX-13O1R-0426-SM-5K7WG",0.6251,"Nerve - Tibial"
"GTEX-1399S-2426-SM-5K7U3",0.6254,"Nerve - Tibial"
"GTEX-13JVG-0526-SM-5IJBN",2.1971,"Nerve - Tibial"
"GTEX-12KS4-1126-SM-5FQUI",1.9708,"Nerve - Tibial"
"GTEX-1192X-0326-SM-5H11U",0.9715,"Nerve - Tibial"
"GTEX-1339X-2726-SM-5PNYU",0.1418,"Nerve - Tibial"
"GTEX-139T6-1726-SM-5PNZ3",2.1258,"Nerve - Tibial"
"GTEX-13S86-2426-SM-5S2MX",0.4766,"Nerve - Tibial"
"GTEX-Y5V6-2726-SM-4VDSC",1.005,"Nerve - Tibial"
"GTEX-Y8E4-0826-SM-4VBRS",3.0511,"Nerve - Tibial"
"GTEX-145MH-1426-SM-5QGPO",2.6686,"Nerve - Tibial"
"GTEX-YJ8O-2626-SM-5HL8H",5.5417,"Nerve - Tibial"
"GTEX-11WQC-2826-SM-5GU7A",1.0931,"Nerve - Tibial"
"GTEX-ZVT3-0326-SM-5GU6U",4.7188,"Nerve - Tibial"
"GTEX-ZLWG-2526-SM-57WDS",3.1697,"Nerve - Tibial"
"GTEX-14753-0126-SM-5S2TX",2.2513,"Nerve - Tibial"
"GTEX-11NUK-0426-SM-5HL5V",3.4756,"Nerve - Tibial"
"GTEX-Z9EW-2026-SM-5CVMQ",1.304,"Nerve - Tibial"
"GTEX-ZF29-2626-SM-4WWBA",1.5319,"Nerve - Tibial"
"GTEX-1212Z-2726-SM-5EQ59",2.3049,"Nerve - Tibial"
"GTEX-13NYS-0426-SM-5MR4X",0.8523,"Nerve - Tibial"
"GTEX-ZYWO-2726-SM-5NQ6N",1.0954,"Nerve - Tibial"
"GTEX-Z93S-0826-SM-5HL7Y",3.2289,"Nerve - Tibial"
"GTEX-13N1W-0426-SM-5MR46",2.6826,"Nerve - Tibial"
"GTEX-13W3W-2726-SM-5SIAE",0.4388,"Nerve - Tibial"
"GTEX-145LU-0726-SM-5QGP2",3.2966,"Nerve - Tibial"
"GTEX-131XE-2526-SM-5EQ57",1.0451,"Nerve - Tibial"
"GTEX-13IVO-0426-SM-5LZY7",0.7996,"Nerve - Tibial"
"GTEX-12ZZX-0426-SM-5DUVT",2.998,"Nerve - Tibial"
"GTEX-13QIC-1426-SM-5LU4V",1.5157,"Nerve - Tibial"
"GTEX-13D11-2626-SM-5IJDB",2.0393,"Nerve - Tibial"
"GTEX-ZP4G-2226-SM-57WFB",2.0658,"Nerve - Tibial"
"GTEX-ZLV1-2026-SM-5EQMB",2.7255,"Nerve - Tibial"
"GTEX-139TT-0326-SM-5IJC3",3.0078,"Nerve - Tibial"
"GTEX-145MO-0526-SM-5Q5F7",1.7933,"Nerve - Tibial"
"GTEX-13O3P-0326-SM-5K7VM",0.9574,"Nerve - Tibial"
