"","exp","Tissue"
"GTEX-T6MO-1126-SM-4DM5D",4.9025,"Ovary"
"GTEX-T5JW-0426-SM-4DM7M",15.9624,"Ovary"
"GTEX-XMD3-2326-SM-4AT5H",15.9756,"Ovary"
"GTEX-PWN1-2426-SM-48TDD",3.8796,"Ovary"
"GTEX-PWCY-1326-SM-48TCU",4.9539,"Ovary"
"GTEX-RU72-2226-SM-46MUE",10.6001,"Ovary"
"GTEX-QCQG-1426-SM-48U22",2.4153,"Ovary"
"GTEX-XV7Q-1426-SM-4BRWA",7.8064,"Ovary"
"GTEX-S4UY-1026-SM-4AD53",0.2817,"Ovary"
"GTEX-XYKS-1726-SM-4E3IO",5.1002,"Ovary"
"GTEX-RU1J-0826-SM-46MUU",3.5685,"Ovary"
"GTEX-UJHI-1226-SM-4IHLR",21.2502,"Ovary"
"GTEX-Q734-0726-SM-48TZP",12.347,"Ovary"
"GTEX-S32W-1226-SM-4AD67",7.6866,"Ovary"
"GTEX-RWS6-1026-SM-47JXD",3.3561,"Ovary"
"GTEX-PWOO-1726-SM-48TDC",1.7591,"Ovary"
"GTEX-S341-0726-SM-4AD5R",7.8479,"Ovary"
"GTEX-RTLS-2326-SM-46MUH",14.3731,"Ovary"
"GTEX-TSE9-2226-SM-4DXUR",3.7179,"Ovary"
"GTEX-S4P3-0926-SM-4AD54",11.8038,"Ovary"
"GTEX-T2IS-2026-SM-4DM6W",8.8222,"Ovary"
"GTEX-XUZC-1026-SM-4BOPY",2.8186,"Ovary"
"GTEX-TML8-0926-SM-4DXSJ",7.8519,"Ovary"
"GTEX-X8HC-2726-SM-46MUA",8.7494,"Ovary"
"GTEX-R55G-1526-SM-48FER",0.2574,"Ovary"
"GTEX-WEY5-0626-SM-4LMIA",0.4257,"Ovary"
"GTEX-U3ZN-1026-SM-4DXTC",5.9105,"Ovary"
"GTEX-OHPL-2426-SM-48TDN",5.8738,"Ovary"
"GTEX-XUW1-0126-SM-4BOOQ",2.4478,"Ovary"
"GTEX-PX3G-2426-SM-48TZZ",14.9947,"Ovary"
"GTEX-XUJ4-1326-SM-4BOQ9",12.0883,"Ovary"
"GTEX-S7SF-1326-SM-4AD4P",17.9192,"Ovary"
"GTEX-TMMY-1726-SM-4DXTD",3.0048,"Ovary"
"GTEX-12ZZX-2026-SM-5LZV9",7.8111,"Ovary"
"GTEX-12WSD-2726-SM-59HLR",13.6887,"Ovary"
"GTEX-132AR-1426-SM-5IFF1",16.6291,"Ovary"
"GTEX-11ZTS-1926-SM-5CVLA",6.0763,"Ovary"
"GTEX-11ZVC-1426-SM-5EGGA",9.9575,"Ovary"
"GTEX-ZVT2-0326-SM-5E44G",5.0884,"Ovary"
"GTEX-11EM3-1726-SM-5N9D1",8.608,"Ovary"
"GTEX-ZAJG-2726-SM-5S2MU",11.1657,"Ovary"
"GTEX-13X6H-1026-SM-5SIBE",5.56,"Ovary"
"GTEX-ZYWO-1926-SM-5E456",6.3662,"Ovary"
"GTEX-1269C-1826-SM-5N9E1",6.0971,"Ovary"
"GTEX-ZVT3-2626-SM-5GU5L",15.5334,"Ovary"
"GTEX-1399S-2126-SM-5J2MH",1.5124,"Ovary"
"GTEX-12WSB-2226-SM-5GCOS",13.0563,"Ovary"
"GTEX-12WSK-1926-SM-5LZVK",24.5216,"Ovary"
"GTEX-ZP4G-0626-SM-4WWF1",12.0055,"Ovary"
"GTEX-139D8-2426-SM-5KM3A",5.5857,"Ovary"
"GTEX-11XUK-1626-SM-5GU5O",3.3028,"Ovary"
"GTEX-13D11-1126-SM-5KLYS",4.9313,"Ovary"
"GTEX-WYBS-2426-SM-4ONDI",9.1297,"Ovary"
"GTEX-ZLWG-0926-SM-4WWC3",1.6635,"Ovary"
"GTEX-11GSP-0226-SM-5A5KV",3.3338,"Ovary"
"GTEX-13N11-0526-SM-5IJFI",10.5158,"Ovary"
"GTEX-Y114-1726-SM-4TT7U",2.4219,"Ovary"
"GTEX-11P81-1526-SM-5P9GS",4.1575,"Ovary"
"GTEX-ZPIC-1426-SM-4WWCP",2.731,"Ovary"
"GTEX-ZZPU-2126-SM-5EGIU",9.776,"Ovary"
"GTEX-1313W-2726-SM-5P9IX",12.0459,"Ovary"
"GTEX-W5WG-0926-SM-4RTX9",5.4607,"Ovary"
"GTEX-13QIC-1526-SM-5IJFL",6.3831,"Ovary"
"GTEX-WI4N-2526-SM-4OOSE",1.7038,"Ovary"
"GTEX-12WSJ-1226-SM-5LU91",7.4343,"Ovary"
"GTEX-1117F-2226-SM-5N9CH",1.6519,"Ovary"
"GTEX-QVJO-3126-SM-4R1KC",9.4608,"Ovary"
"GTEX-11ZTT-1826-SM-5CVLN",6.6126,"Ovary"
"GTEX-11I78-1926-SM-59878",2.0519,"Ovary"
"GTEX-12WSG-1426-SM-5FQUK",4.5371,"Ovary"
"GTEX-13VXT-1526-SM-5LU3J",13.6994,"Ovary"
"GTEX-13OVJ-2426-SM-5KM3I",3.1306,"Ovary"
"GTEX-146FH-2526-SM-5Q5BP",18.554,"Ovary"
"GTEX-WWYW-2726-SM-4MVOP",2.7322,"Ovary"
"GTEX-11EMC-1726-SM-5H11P",4.4576,"Ovary"
"GTEX-145ME-1226-SM-5SIB6",6.6147,"Ovary"
"GTEX-13OVI-0726-SM-5L3DD",4.0619,"Ovary"
"GTEX-131YS-2226-SM-5P9G8",16.828,"Ovary"
"GTEX-YJ8O-1026-SM-5CVM5",17.6597,"Ovary"
"GTEX-WXYG-1426-SM-4ONCK",4.5201,"Ovary"
"GTEX-Y3IK-2026-SM-4YCDG",15.3153,"Ovary"
"GTEX-13W3W-1526-SM-5LU5I",2.6286,"Ovary"
"GTEX-133LE-1226-SM-5IFGC",5.7052,"Ovary"
"GTEX-YFC4-2726-SM-5IFJW",17.8356,"Ovary"
"GTEX-X15G-1726-SM-4PQZN",8.1716,"Ovary"
"GTEX-13PL7-2326-SM-5L3FY",12.7394,"Ovary"
"GTEX-13QBU-1526-SM-5LU3W",22.4721,"Ovary"
"GTEX-ZV6S-1426-SM-59HKX",0.8819,"Ovary"
"GTEX-X4EO-2426-SM-4QASD",4.0869,"Ovary"
"GTEX-14AS3-1326-SM-5RQJE",13.5201,"Ovary"
"GTEX-1399U-1726-SM-5P9J4",2.3722,"Ovary"
"GTEX-ZYY3-2726-SM-5EGH4",10.8296,"Ovary"
"GTEX-YB5K-1426-SM-5IFIB",0.4378,"Ovary"
"GTEX-13FTX-0926-SM-5IFF7",3.5425,"Ovary"
"GTEX-WYVS-1526-SM-4OND4",10.4914,"Ovary"
"GTEX-13O3O-2726-SM-5KM35",7.6242,"Ovary"
"GTEX-13U4I-2126-SM-5LU55",14.1432,"Ovary"
"GTEX-11VI4-1026-SM-5EQM1",5.2781,"Ovary"
"GTEX-ZYFG-1726-SM-5GZZB",10.5557,"Ovary"
"GTEX-11DXX-1426-SM-5GIDU",3.1287,"Ovary"
"GTEX-ZC5H-2026-SM-5CVN2",15.9454,"Ovary"
"GTEX-13PVR-1226-SM-5RQJ2",3.7248,"Ovary"
"GTEX-T5JW-0426-SM-5CHSJ",0,"Ovary"
"GTEX-TSE9-2226-SM-5CHRY",0,"Ovary"
"GTEX-W5X1-2026-SM-5CHSZ",0,"Ovary"
"GTEX-WEY5-0626-SM-5CHT3",0,"Ovary"
"GTEX-POMQ-1426-SM-3P61D",10.0299,"Ovary"
"GTEX-P4PP-2426-SM-3P61L",8.5922,"Ovary"
"GTEX-OHPK-2426-SM-3MJGH",4.5928,"Ovary"
"GTEX-PLZ4-2826-SM-3P617",8.7233,"Ovary"
"GTEX-P78B-1926-SM-3P616",10.1877,"Ovary"
"GTEX-P4QT-2426-SM-3NMCL",5.5053,"Ovary"
