"","exp","Tissue"
"GTEX-T6MO-1526-SM-4DM57",2.6496,"Uterus"
"GTEX-PWN1-2026-SM-48TD9",0.3472,"Uterus"
"GTEX-S4UY-1226-SM-4AD51",1.8685,"Uterus"
"GTEX-TMMY-2226-SM-4DXTN",0.9198,"Uterus"
"GTEX-T2IS-2226-SM-4DM65",2.4348,"Uterus"
"GTEX-PX3G-2026-SM-48U1H",2.2587,"Uterus"
"GTEX-XUZC-0926-SM-4BOQF",0.1531,"Uterus"
"GTEX-WEY5-0726-SM-4LMID",0.8517,"Uterus"
"GTEX-XUW1-0226-SM-4BOOS",2.1924,"Uterus"
"GTEX-R55G-1626-SM-48FF4",0.9737,"Uterus"
"GTEX-RWS6-1326-SM-47JXB",4.3109,"Uterus"
"GTEX-XV7Q-1526-SM-4BRWB",2.9043,"Uterus"
"GTEX-RU72-2626-SM-4GIE1",13.7098,"Uterus"
"GTEX-XUJ4-1526-SM-4BONU",7.4354,"Uterus"
"GTEX-S341-1026-SM-4AD71",0.9374,"Uterus"
"GTEX-UPIC-1526-SM-4IHLU",2.0506,"Uterus"
"GTEX-T5JW-1526-SM-4DM5E",1.2907,"Uterus"
"GTEX-U3ZN-0726-SM-4DXT5",2.2492,"Uterus"
"GTEX-S7SF-0826-SM-4AD4W",2.1301,"Uterus"
"GTEX-RTLS-2426-SM-46MUO",14.6232,"Uterus"
"GTEX-XYKS-1626-SM-4BRUQ",3.6343,"Uterus"
"GTEX-W5WG-1326-SM-4LMI9",4.4112,"Uterus"
"GTEX-QCQG-1326-SM-48U24",3.732,"Uterus"
"GTEX-PWCY-1426-SM-48TCT",7.3828,"Uterus"
"GTEX-Q734-1626-SM-48U1B",8.6595,"Uterus"
"GTEX-S32W-1426-SM-4AD66",1.7831,"Uterus"
"GTEX-PWOO-1526-SM-48TCK",0.693,"Uterus"
"GTEX-RU1J-1026-SM-46MUR",1.9654,"Uterus"
"GTEX-TSE9-2626-SM-4DXV2",6.0128,"Uterus"
"GTEX-11EM3-1926-SM-5987U",0.766,"Uterus"
"GTEX-11EMC-1826-SM-5A5JT",6.9266,"Uterus"
"GTEX-14BMU-1826-SM-5RQII",3.6518,"Uterus"
"GTEX-1399S-2226-SM-5IFEW",1.3223,"Uterus"
"GTEX-WYVS-1226-SM-4ONCL",4.7727,"Uterus"
"GTEX-12ZZX-2126-SM-5LZVL",1.8893,"Uterus"
"GTEX-13OVI-1026-SM-5L3EM",3.2969,"Uterus"
"GTEX-14BIM-2226-SM-5SI8Y",6.0967,"Uterus"
"GTEX-113JC-2226-SM-5EGJG",7.58,"Uterus"
"GTEX-139D8-2526-SM-5N9G3",4.5818,"Uterus"
"GTEX-13W3W-1426-SM-5LU56",0.7848,"Uterus"
"GTEX-Y114-1826-SM-4TT87",1.322,"Uterus"
"GTEX-Y3IK-2126-SM-4YCDS",11.0872,"Uterus"
"GTEX-13OVJ-2326-SM-5IJGA",2.7995,"Uterus"
"GTEX-13N11-1126-SM-5KM41",1.2804,"Uterus"
"GTEX-13FTX-1026-SM-5J2O5",3.7137,"Uterus"
"GTEX-ZLWG-1026-SM-4WWC4",2.8712,"Uterus"
"GTEX-WXYG-1326-SM-4ONCN",1.4094,"Uterus"
